varname,groupname,is_derived,adjfactor_type,delay_0,dimensions,value_type,coverage,update_frequency,empty_value,lower_bound,upper_bound,units,data_types,author,birthday,num_comments,description
adjfactor,GROUP_backoffice,0,,0,2D,single,914.0,1490.5,,0.04,10.0,,Technical,tpark|ctseng|aarnold,,0,adjustment factors due to corporate actions; it impacts both price and volume; the default value is 1
adjfactor_price_only,GROUP_backoffice,0,,0,2D,single,914.0,1490.5,,0.7,1.0,,Technical,tpark|ctseng|aarnold,,0,adjustment factors due to spin-off corporate actions; it impacts price only; the default value is 1
agg_etf,GROUP_specificETF,1,,0,2D,single,1.0,253.0,0.0,0.0,1.0,Logical,Technical,jackwu,20200121.0,0,1 for AGG ticker
all_busdays,GROUP_busdays,0,,0,Other 1D,int,,1.0,,2.03e+7,2.03e+7,Date,Fundamental,szhou|zliu|yliu|imajer|rkumar75,20230128.0,0,all business dates after 20060101
alpha_label_map,GROUP_alpha_label,0,,0,PMap,containers.Map,,,,NaN,NaN,,Universe,she,20190408.0,0,mapping from alpha label to alpha id
ask_afternoon,GROUP_intra_bidask,0,CAX_ADJ_DIV_D1,1,2D,single,900.0,1.188084,,0.0,430.7,,Technical,ssrivastava|tpark|cshao|aarnold,,0,volume weighted average ask price in the last trading hour of the day
ask_allday,GROUP_intra_bidask,0,CAX_ADJ_DIV_D1,1,2D,single,900.0,1.118573,,0.0,453.22,,Technical,ssrivastava|tpark|cshao|aarnold,,0,volume weighted average ask price throughout the day
ask_morning,GROUP_intra_bidask,0,CAX_ADJ_DIV_D1,1,2D,single,900.0,1.155452,,0.0,451.67,,Technical,ssrivastava|tpark|cshao|aarnold,,0,volume weighted average ask price in the first trading hour of the day
ask_volume_afternoon,GROUP_intra_bidask,0,CAX_ADJ_MUL_D1,1,2D,single,900.0,1.17643,,0.0,3.27e+9,,Technical,ssrivastava|tpark|cshao|aarnold,,0,total volume of shares offered at the best ask price in the last trading hour of the day
ask_volume_allday,GROUP_intra_bidask,0,CAX_ADJ_MUL_D1,1,2D,single,900.0,1.114522,,0.0,6.51e+9,,Technical,ssrivastava|tpark|cshao|aarnold,,0,total volume of shares offered at the best ask price throughout the day
ask_volume_morning,GROUP_intra_bidask,0,CAX_ADJ_MUL_D1,1,2D,single,900.0,1.148177,,0.0,2.92e+9,,Technical,ssrivastava|tpark|cshao|aarnold,,0,total volume of shares offered at the best ask price in the first trading hour of the day
ave_corr_21,GROUP_etf_corr,1,,0,2D,single,1453.0,1.003968253968254,0.0,-0.76,0.77,,Technical,jzhu,20190610.0,0,average correlation with all ETFs for the last 21 days
ave_corr_21_category,GROUP_etf_corr,1,,0,2D,single,1402.0,1.003968253968254,,-0.93,0.99,,Technical,jzhu,20190610.0,0,average correlation with all ETFs for the last 252 days
