Operator,# Args,Tags,Type,Authors,BDay,Description
jcho_cs_norm(input),Unary,"Post processing, Cross sectional",global,jcho,20180705,Transform each cross section of the input to normal distribution.
"jzhu_ind_rotation(var, industry, weight, norm=True)",Binary,"Relative value, Cross sectional",global,jzhu,20200528,This operator is used to calculate industry average and process normal post processing steps on the industry level.
"jhuang_varyingsize(alpharaw,events,valids,neut_mat,meansize=1e6,events_lb=20,meansize_lb=252,poslimit=0.01)",,Event,global,jhuang,20200501,This operator will make the 'alpharaw' have varying booksize base on the number of 'events' in the past 'events_lb' days and keep the mean booksize of the past 'meansize_lb' days as 'meansize'.
"syuan_cs_eigenvector_centrality(relation, sp=None, time=None, mode='raw', max_iter=100, tol=1.0e-6, norm=True, fill=True)",Unary,"Regression, Relative value, Time series",global,syuan,20200408,Conduct time series one-variable regression
"syuan_cs_pagerank(relation, sp=None, time=None, mode='raw', alpha=0.85, max_iter=100, tol=1e-6, norm=True, fill=True)",Unary,"Regression, Relative value, Time series",global,syuan,20200408,Conduct time series one-variable regression.
"ycai_indNeutAvgExcSelf(var, ind)",Binary,"Relative value, Cross sectional",global,ycai,20200413,This operator conducts industry neutralization of input variable var.
"cxi_ts_linear_regress(x, y, shift, lookback)",Binary,"Regression, Time series",global,cxi,20190610,Linear regression operator for individual stock data.
"cxi_ts_logit_regress(x, y, shift, lookback)",Binary,"Regression, Time series",global,cxi,20190610,Probit regression operator for dividiual stock data.
"cxi_ts_probit_regress(x, y, shift, lookback)",Binary,"Regression, Time series",global,cxi,20190610,Logistic regression operator for dividiual stock data.
"cxi_GroupMean(input, grouping)",,"Relative value, Cross sectional",global,cxi,20180912,Cross-sectional group mean operator.
"tqio_ICA_binary(input1,input2)",Binary,"Combination, Cross sectional",global,tqiao,20171215,"Perform independent component analysis on a daily basis. tqio_ICA_binary  takes two variables everyday, viewing them (stockwise) as combination of independent nongaussian signals (only one is used in this specific operator) plus gaussian noises."
"tqio_corr2index(var,index,lookback,var_delay=0,predict_var=False)",Binary,Relative value,global,tqiao,20171215,Calculates correlation between a variable and an index provided by user in time series domain. Index could be a leading factor. This function could also return the predicted value of var calculated based on the index value and its correlation to the variable.
"ts_ann_last_year(input,dates,quarter_of_the_year)",,"Time series, Event",global,,,Find out the fundamental values for the same quarter last year
"jzhu_jzhao_liquify(input,volume,close, pctg=0.2, n_day=3)",Unary,Post processing,global,"jzhu, jzhao",20180619,This operator is used to significantly increase the capacity of alpha
"jzhu_flipper(input1,input2,input3, direction ='ts',method ='zscore',bias = 1)",Ternary,"Combination, Flipper",global,jzhu,20180529,This operator is use to switch between two alpha ideas based on certain conditions.
"jzhu_tc_pca_multi(input, number)",Multi-input,Combination,global,jzhu,20171212,Find out the principal components of multiple variables each day and combine the important ones to make one data variable
"jzhu_tc_hump_liquidity(input, ratio, volume, close)",Unary,Post processing,global,jzhu,20171206,Slow down the signal using the logic similar to tc_hump while increasing the liquidity and capacity at the same time
"jzhu_FFT_keep_component(input, lookback, frequency, keep ='slow')",Unary,Time series,global,jzhu,20170815,Keep certain frequency components of a time series using Fast Fourier Transform.
"jzhu_FFT_keep(input, lookback, frequency)",Unary,"Post processing, Time series",global,,,Slow the turnover of input matrix by using the Fast Fourier Transform
"jzhu_ts_signed_logratio_divide_avg(input, lookback)",Unary,Time series,global,jzhu,20170811,Calculates the signed log ratio of the input variable over its average value for the past few days.
